id_odsp,date,country,ht,at,league,price,available_seats
ShK8nGXf/,2021-09-10,england,Sunderland,Chelsea,E0,50,4085
vJhKQJeo/,2021-09-10,spain,Real Sociedad,Barcelona,SP1,116,1031
WGiCxJf8/,2021-09-10,germany,Mainz,TSG Hoffenheim,D1,36,10346
WxHLgbuL/,2021-09-10,england,Manchester City,Wigan,E0,110,2167
z5Kq7eQl/,2021-09-10,france,Bordeaux,Evian Thonon Gaillard,F1,102,4962
zBNCeKA8/,2021-09-10,england,Everton,Aston Villa,E0,41,15559
zesOOHnH/,2021-09-10,italy,Cesena,Napoli,I1,66,2605
2c1hVamU/,2021-09-11,spain,Osasuna,Sporting Gijon,SP1,43,23450
46NjSd2E/,2021-09-11,france,AS Nancy Lorraine,AJ Auxerre,F1,114,7184
Ait1vcn4/,2021-09-11,italy,Palermo,Internazionale,I1,98,21124
ATFPhIfR/,2021-09-11,england,Norwich City,West Brom,E0,81,6364
bRgKW9q4/,2021-09-11,spain,Espanyol,Athletic Bilbao,SP1,71,12329
E1MGfvQE/,2021-09-11,england,Fulham,Blackburn,E0,72,2024
EotSNy2N/,2021-09-11,italy,Chievo Verona,Novara,I1,27,26399
hYAuU7TM/,2021-09-11,spain,Racing Santander,Levante,SP1,80,22542
IXgOZGvR/,2021-09-11,germany,VfL Wolfsburg,Schalke 04,D1,61,16119
jiZlsa2o/,2021-09-11,italy,Juventus,Parma,I1,103,2045
KzeGXkUc/,2021-09-11,spain,Real Betis,Mallorca,SP1,114,28907
lxhhtJHi/,2021-09-11,italy,Lecce,Udinese,I1,66,6526
QFOnTxm8/,2021-09-11,france,Montpellier,Nice,F1,84,16392
tjqPVTbA/,2021-09-11,spain,Rayo Vallecano,Real Zaragoza,SP1,20,21039
tYsKPcXA/,2021-09-11,italy,Catania,Siena,I1,27,22539
vRp5wH1A/,2021-09-11,italy,AS Roma,Cagliari,I1,115,5687
vseKzcPK/,2021-09-11,germany,FC Cologne,Nurnberg,D1,41,13210
WMzXMeHT/,2021-09-11,italy,Fiorentina,Bologna,I1,30,23285
YuSfRGHK/,2021-09-11,france,Paris Saint-Germain,Brest,F1,39,12470
YVMbIFPp/,2021-09-11,italy,Genoa,Atalanta,I1,42,26573
QatDYVEi/,2021-09-12,spain,Malaga,Granada,SP1,113,21288
S82ilx3r/,2021-09-12,england,QPR,Newcastle,E0,112,613
lb7VXT8t/,2021-09-16,germany,SC Freiburg,VfB Stuttgart,D1,43,2067
04PCiQzK/,2021-09-17,england,Everton,Wigan,E0,56,21902
0KXFpf27/,2021-09-17,england,Aston Villa,Newcastle,E0,99,29248
2TeFpTD3/,2021-09-17,spain,Mallorca,Malaga,SP1,50,25948
44O5XGV2/,2021-09-17,england,Swansea,West Brom,E0,51,6005
8U26nkqi/,2021-09-17,spain,Sevilla,Real Sociedad,SP1,83,26908
bD0suznK/,2021-09-17,france,Nice,AC Ajaccio,F1,114,13003
CIiCOoip/,2021-09-17,spain,Sporting Gijon,Valencia,SP1,20,28042
CKtIYXOm/,2021-09-17,france,Valenciennes,Dijon FCO,F1,20,8873
CYq2kdvE/,2021-09-17,germany,Nurnberg,Werder Bremen,D1,88,9817
EXndVh9j/,2021-09-17,italy,Internazionale,AS Roma,I1,63,19334
I11QzFoT/,2021-09-17,italy,Cagliari,Novara,I1,46,14692
j9jGN56j/,2021-09-17,spain,Barcelona,Osasuna,SP1,62,15149
jsS3q2r0/,2021-09-17,england,Wolves,QPR,E0,92,5732
K46Ao9bc/,2021-09-17,spain,Granada,Villarreal,SP1,93,8609
lboqICv7/,2021-09-17,france,Lille,Sochaux,F1,114,28983
n1L8h6LD/,2021-09-17,england,Bolton,Norwich City,E0,98,5864
przaTEHf/,2021-09-17,germany,Bayer Leverkusen,FC Cologne,D1,77,26066
rc0vW7wg/,2021-09-17,germany,TSG Hoffenheim,VfL Wolfsburg,D1,65,23979
roxEZD9s/,2021-09-17,france,Toulouse,Bordeaux,F1,85,23711
SlpmHWgD/,2021-09-17,france,Lorient,St Etienne,F1,62,1895
tAT7Rhn7/,2021-09-17,germany,Hamburg SV,Borussia Monchengladbach,D1,108,16435
UeVsKY9f/,2021-09-17,france,Brest,Montpellier,F1,60,11189
vBWJqEHD/,2021-09-17,england,Blackburn,Arsenal,E0,117,1409
WMdzXmOn/,2021-09-17,germany,Kaiserslautern,Mainz,D1,91,23499
xKarVRha/,2021-09-17,germany,Hertha Berlin,FC Augsburg,D1,96,819
zZVwLEfl/,2021-09-17,france,AJ Auxerre,Caen,F1,120,20633
4bcMyeWM/,2021-09-18,italy,Bologna,Lecce,I1,102,20342
8nUoJhP0/,2021-09-18,france,Evian Thonon Gaillard,Paris Saint-Germain,F1,42,6701
AgaNr7rG/,2021-09-18,spain,Real Zaragoza,Espanyol,SP1,91,17195
bov3SYW0/,2021-09-18,germany,Schalke 04,Bayern Munich,D1,96,16770
CpxqkfoG/,2021-09-18,italy,Udinese,Fiorentina,I1,75,8788
dKSaprTg/,2021-09-18,england,Tottenham,Liverpool,E0,56,24310
dzBrn4bs/,2021-09-18,england,Manchester Utd,Chelsea,E0,117,11736
EB5moODm/,2021-09-18,england,Sunderland,Stoke City,E0,65,24741
fROGjpjQ/,2021-09-18,england,Fulham,Manchester City,E0,61,17265
GIrziGG3/,2021-09-18,italy,Parma,Chievo Verona,I1,51,24981
h2MZsRcM/,2021-09-18,spain,Getafe,Rayo Vallecano,SP1,31,5883
K0SBQC1D/,2021-09-18,germany,Hannover 96,Borussia Dortmund,D1,39,12833
MeqWid1c/,2021-09-18,italy,Napoli,AC Milan,I1,111,16400
MZ7HxyHG/,2021-09-18,italy,Atalanta,Palermo,I1,54,26918
pAdwtGWD/,2021-09-18,france,Lyon,Marseille,F1,28,6820
r5pShxni/,2021-09-18,italy,Lazio,Genoa,I1,100,10250
tKfJqmT9/,2021-09-18,spain,Athletic Bilbao,Real Betis,SP1,73,116
txjnvf1Q/,2021-09-18,france,Stade Rennes,AS Nancy Lorraine,F1,91,1709
ULnvjzW9/,2021-09-18,italy,Siena,Juventus,I1,100,4222
WO9qTRrT/,2021-09-18,spain,Atletico Madrid,Racing Santander,SP1,62,1248
zRBvsoDS/,2021-09-18,spain,Levante,Real Madrid,SP1,34,5632
zslhWYgp/,2021-09-18,italy,Catania,Cesena,I1,83,23636
EXbpbSSd/,2021-09-20,spain,Real Sociedad,Granada,SP1,80,1334
hOclcnr3/,2021-09-20,spain,Villarreal,Mallorca,SP1,114,29208
p01Ezqjd/,2021-09-20,spain,Osasuna,Sevilla,SP1,41,22533
xhgZWBg0/,2021-09-20,france,Bordeaux,Lille,F1,68,5095
YNlZ3g09/,2021-09-20,italy,Novara,Internazionale,I1,25,7642
692AyPzj/,2021-09-21,spain,Valencia,Barcelona,SP1,30,18490
80uWsCwj/,2021-09-21,italy,Genoa,Catania,I1,41,21759
8jApU9wJ/,2021-09-21,france,Lorient,AJ Auxerre,F1,106,26892
ba7Bnigm/,2021-09-21,france,St Etienne,Toulouse,F1,60,12235
CEmw3DFF/,2021-09-21,italy,Palermo,Cagliari,I1,98,4338
Cn36x5Lq/,2021-09-21,spain,Atletico Madrid,Sporting Gijon,SP1,67,20711
fgaelE0M/,2021-09-21,italy,Cesena,Lazio,I1,21,6143
fT3UXivf/,2021-09-21,france,AC Ajaccio,Montpellier,F1,85,3460
GnfU4Zp3/,2021-09-21,italy,AC Milan,Udinese,I1,115,8383
ID5ukOkq/,2021-09-21,spain,Racing Santander,Real Madrid,SP1,93,9753
KzqzsWhd/,2021-09-21,italy,Juventus,Bologna,I1,48,8411
lQHyggGJ/,2021-09-21,france,Marseille,Evian Thonon Gaillard,F1,50,9853
nochd6c9/,2021-09-21,spain,Malaga,Athletic Bilbao,SP1,35,718
OS3amYFS/,2021-09-21,italy,Chievo Verona,Napoli,I1,91,3153
pd37mXws/,2021-09-21,france,Paris Saint-Germain,Nice,F1,114,4104
QLDDg4sS/,2021-09-21,spain,Rayo Vallecano,Levante,SP1,114,3338
QyjRrhOq/,2021-09-21,italy,Fiorentina,Parma,I1,111,12634
SGGuhDVP/,2021-09-21,france,AS Nancy Lorraine,Valenciennes,F1,35,7753
tOdGoB8g/,2021-09-21,france,Sochaux,Stade Rennes,F1,52,11764
UaBtVkOC/,2021-09-21,france,Dijon FCO,Brest,F1,26,11812
xdeQ5FVd/,2021-09-21,italy,Lecce,Atalanta,I1,74,12318
zwCxWV86/,2021-09-21,france,Caen,Lyon,F1,21,6605
0l1deQCF/,2021-09-22,spain,Real Betis,Real Zaragoza,SP1,95,12378
6yms2XUL/,2021-09-22,italy,AS Roma,Siena,I1,55,9695
rDj1fpSL/,2021-09-22,spain,Espanyol,Getafe,SP1,118,8481
OKJBQ37U/,2021-09-23,germany,VfB Stuttgart,Hamburg SV,D1,94,2981
00o3l4Ui/,2021-09-24,france,Nice,Dijon FCO,F1,31,10708
0MASHCU8/,2021-09-24,italy,AC Milan,Cesena,I1,101,28926
2HV7rMc6/,2021-09-24,england,Arsenal,Bolton,E0,83,9948
4lz9Q0xo/,2021-09-24,france,Lyon,Bordeaux,F1,98,5028
82Gob1cg/,2021-09-24,england,West Brom,Fulham,E0,81,20856
AHF7RqhO/,2021-09-24,germany,Mainz,Borussia Dortmund,D1,104,14638
AmIzq9hC/,2021-09-24,france,Evian Thonon Gaillard,Caen,F1,117,24628
dSvCnra4/,2021-09-24,france,Toulouse,AS Nancy Lorraine,F1,47,7830
EuHsasrm/,2021-09-24,england,Stoke City,Manchester Utd,E0,92,11786
fqAWGWqF/,2021-09-24,italy,Napoli,Fiorentina,I1,74,8588
G4y75q5J/,2021-09-24,england,Newcastle,Blackburn,E0,77,12994
hC7urT7I/,2021-09-24,france,Lille,Lorient,F1,100,3579
I76xqoNb/,2021-09-24,germany,FC Augsburg,Hannover 96,D1,36,27900
j1Ij9qsF/,2021-09-24,spain,Athletic Bilbao,Villarreal,SP1,66,19806
jBwbcLCa/,2021-09-24,england,Wigan,Tottenham,E0,108,2089
jkvGo2EA/,2021-09-24,france,Valenciennes,Marseille,F1,91,9814
KSMfUo85/,2021-09-24,germany,Bayern Munich,Bayer Leverkusen,D1,31,28626
M9nakpFo/,2021-09-24,france,Montpellier,Paris Saint-Germain,F1,109,24723
MXdukFe0/,2021-09-24,spain,Real Madrid,Rayo Vallecano,SP1,81,21917
OWJGt0SI/,2021-09-24,england,Manchester City,Everton,E0,49,13610
ptLCstDC/,2021-09-24,england,Liverpool,Wolves,E0,87,19266
reN9Wzo9/,2021-09-24,england,Chelsea,Swansea,E0,28,10193
UwhMdBhq/,2021-09-24,italy,Bologna,Internazionale,I1,115,5852
vH7YqR7h/,2021-09-24,germany,Borussia Monchengladbach,Nurnberg,D1,40,3836
vTglm2Ke/,2021-09-24,spain,Barcelona,Atletico Madrid,SP1,43,7286
Wj8Up7hn/,2021-09-24,germany,VfL Wolfsburg,Kaiserslautern,D1,42,28531
x4HaT5NB/,2021-09-24,germany,Schalke 04,SC Freiburg,D1,69,11861
xECinMZ1/,2021-09-24,spain,Sevilla,Valencia,SP1,70,9926
0xDw0NSt/,2021-09-25,england,QPR,Aston Villa,E0,98,18158
255TfkNe/,2021-09-25,italy,Catania,Juventus,I1,37,14148
8UjQeV7k/,2021-09-25,italy,Cagliari,Udinese,I1,85,28033
d44qlr5k/,2021-09-25,spain,Sporting Gijon,Racing Santander,SP1,24,14485
fZOsB5C2/,2021-09-25,spain,Granada,Osasuna,SP1,98,16809
GfG3SPxI/,2021-09-25,germany,Werder Bremen,Hertha Berlin,D1,117,29842
h09Qomwt/,2021-09-25,germany,FC Cologne,TSG Hoffenheim,D1,61,5454
Iyt8mOqb/,2021-09-25,france,Stade Rennes,St Etienne,F1,20,25986
lpS4bOTm/,2021-09-25,italy,Siena,Lecce,I1,92,5077
nJ6OIhF2/,2021-09-25,italy,Lazio,Palermo,I1,99,12655
OdFg1ipS/,2021-09-25,italy,Atalanta,Novara,I1,55,20042
OWJSpVNa/,2021-09-25,france,AJ Auxerre,Sochaux,F1,118,10849
SQuKiHBs/,2021-09-25,spain,Real Zaragoza,Malaga,SP1,102,29193
td4Xg9x2/,2021-09-25,italy,Chievo Verona,Genoa,I1,73,12242
v97zjetf/,2021-09-25,spain,Levante,Espanyol,SP1,70,28798
W8Xaa4Es/,2021-09-25,italy,Parma,AS Roma,I1,29,17650
WdJWqkw6/,2021-09-25,france,Brest,AC Ajaccio,F1,90,2020
YPNoAPR8/,2021-09-25,spain,Mallorca,Real Sociedad,SP1,94,11236
fezB43KP/,2021-09-26,england,Norwich City,Sunderland,E0,64,3298
MmuOjyRm/,2021-09-26,spain,Getafe,Real Betis,SP1,94,22556
SAFObQMo/,2021-09-30,germany,Kaiserslautern,VfB Stuttgart,D1,33,10359
0QMR0fJi/,2021-10-01,england,Manchester Utd,Norwich City,E0,80,6112
0Wesr5x5/,2021-10-01,germany,Borussia Dortmund,FC Augsburg,D1,24,21689
2ynI4fem/,2021-10-01,spain,Malaga,Getafe,SP1,107,14830
8KNWd4ib/,2021-10-01,germany,Hertha Berlin,FC Cologne,D1,83,24275
8tH6vNyU/,2021-10-01,germany,Nurnberg,Mainz,D1,67,26010
ADgaeasC/,2021-10-01,england,Blackburn,Manchester City,E0,115,18767
Ak3YZtpo/,2021-10-01,germany,SC Freiburg,Borussia Monchengladbach,D1,38,8402
dr3w2hu6/,2021-10-01,spain,Racing Santander,Rayo Vallecano,SP1,71,12810
ETOJrtqN/,2021-10-01,france,Caen,Nice,F1,66,19429
GCLWxiRp/,2021-10-01,england,Everton,Liverpool,E0,28,4065
GtJdbLrA/,2021-10-01,france,St Etienne,AJ Auxerre,F1,52,13445
h2drBdIJ/,2021-10-01,spain,Osasuna,Mallorca,SP1,65,6370
hKNNs0bT/,2021-10-01,france,Dijon FCO,AC Ajaccio,F1,77,8908
IiOgsPiB/,2021-10-01,germany,Bayer Leverkusen,VfL Wolfsburg,D1,52,20689
jFFvbh3A/,2021-10-01,england,Wolves,Newcastle,E0,107,27200
lEwaCsbm/,2021-10-01,italy,AS Roma,Atalanta,I1,39,9512
nufinDuJ/,2021-10-01,spain,Valencia,Granada,SP1,25,16084
O2EgxvMj/,2021-10-01,france,Lorient,Valenciennes,F1,20,17768
OpmE5zts/,2021-10-01,spain,Villarreal,Real Zaragoza,SP1,75,24407
QeYRcpxh/,2021-10-01,germany,TSG Hoffenheim,Bayern Munich,D1,74,18825
r3kgcubG/,2021-10-01,france,Sochaux,Toulouse,F1,60,2741
rTKl0sEc/,2021-10-01,france,AS Nancy Lorraine,Evian Thonon Gaillard,F1,112,23216
UaRVaEYc/,2021-10-01,england,Sunderland,West Brom,E0,99,10187
W4ZEqMTG/,2021-10-01,france,Bordeaux,Montpellier,F1,49,27388
WMfeduS5/,2021-10-01,england,Aston Villa,Wigan,E0,58,9169
xjhPeMD6/,2021-10-01,italy,Internazionale,Napoli,I1,108,19372
0OeqlZA6/,2021-10-02,spain,Sporting Gijon,Barcelona,SP1,88,15450
0WHEVf0F/,2021-10-02,england,Swansea,Stoke City,E0,28,19705
2L3Z2YPa/,2021-10-02,spain,Espanyol,Real Madrid,SP1,111,20959
4zg3fJdI/,2021-10-02,england,Bolton,Chelsea,E0,30,22786
650nAGXP/,2021-10-02,spain,Real Sociedad,Athletic Bilbao,SP1,106,4050
8jQZbYm4/,2021-10-02,england,Tottenham,Arsenal,E0,52,17680
8lemmgQC/,2021-10-02,spain,Atletico Madrid,Sevilla,SP1,32,28557
b5tYg0rJ/,2021-10-02,italy,Lecce,Cagliari,I1,39,15593
CENctq7H/,2021-10-02,germany,Hamburg SV,Schalke 04,D1,87,28091
j5M1u3MN/,2021-10-02,germany,Hannover 96,Werder Bremen,D1,37,28861
jwbOIqLJ/,2021-10-02,italy,Novara,Catania,I1,26,24104
KCtN3EAg/,2021-10-02,spain,Real Betis,Levante,SP1,75,2325
KEsUftTC/,2021-10-02,italy,Juventus,AC Milan,I1,54,25000
MZNN1z4o/,2021-10-02,england,Fulham,QPR,E0,95,21190
pCFkwK6p/,2021-10-02,france,Lille,Stade Rennes,F1,95,12376
QFlLd2b0/,2021-10-02,italy,Fiorentina,Lazio,I1,30,21870
ryw3B1Dg/,2021-10-02,italy,Udinese,Bologna,I1,116,6822
UPGp1Nbi/,2021-10-02,france,Marseille,Brest,F1,64,4730
UTdSH3zQ/,2021-10-02,italy,Palermo,Siena,I1,75,28894
WhkHcrqf/,2021-10-02,italy,Cesena,Chievo Verona,I1,29,26861
xjKha1T3/,2021-10-02,france,Paris Saint-Germain,Lyon,F1,88,24212
